,Smiles,S_Hit
64960,CCOc1cc(Cl)c(cc1OCC)C(C)NC(=O)c2cccc(OC)c2,Yes
64961,CC(NCc1ccccc1)c2cc(Cl)ccc2O,Yes
64962,CC(C)(C)c1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1,Yes
64963,CCOc1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1,Yes
64964,Cc1cc(C)c2CN(Cc3ccccc3Cl)COc2c1,Yes
64966,CN(C)c1ccc(cc1)C(O)(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,Yes
64967,Oc1ccc2ccccc2c1C(NC(=O)Cc3ccccc3)c4ccc(Cl)cc4,Yes
64970,c(c(ccn1)NCCN(CC)CC)(ccc(Cl)c2)c12,Yes
64971,CNCCCNc1ccnc2cc(Cl)ccc12,Yes
64975,c1(cnc(c2c1O)ccc(CC)c2)C(OCC)=O,Yes
64978,CCCc1c(C)nc2ccccc2c1O,Yes
64979,CCCc1c(C)nc2ccc(Br)cc2c1O,Yes
64985,Oc1c(CN2CCN(CC2)c3ccccc3F)cc(Br)c4cccnc14,Yes
64986,CCCOCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14,Yes
64987,CC(C)OCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14,Yes
64993,c([nH]nc1c2c(O)cc(C)c(Cl)c2)(C3=O)c1C(c4ccccc4F)N3CCc(cc5)ccc5OC,Yes
64994,COc1cccc(c1)C(=O)NC(c2ccc(C)cc2)c3cc(Cl)c4cccnc4c3O,Yes
64995,COc1ccc(cc1)C(=O)NC(c2ccccc2Cl)c3cc(Cl)c4cccnc4c3O,Yes
64996,COc1ccc(cc1)C(=O)NC(c2ccc(Cl)cc2Cl)c3cc(Cl)c4cccnc4c3O,Yes
64997,Oc1c(ccc2cccnc12)C(NC(=O)c3ccccc3)c4ccccc4,Yes
65000,Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c4ccc5cccnc5c4O)c1,Yes
65001,Oc1c(ccc2cccnc12)C(Nc3ccccn3)c4cccc(Oc5ccccc5)c4,Yes
65004,Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl,Yes
65005,Fc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl,Yes
65006,n1c(N(C)C)cc(C)nc1Nc(cc2)ccc2NC(=O)Nc3ccccc3,Yes
65007,n1c(cc(C)nc1Nc(cc2)ccc2NC(CCc3ccccc3)=O)N4CCCC4,Yes
65010,Oc1c2CCCCc2nc3ccccc13,Yes
65013,n12c(nc(c3ccc(Cl)s3)cc1C(F)(F)F)cc(C(=O)NC(CC4)CCN4Cc5ccccc5)n2,Yes
65014,Oc1ccc2ccccc2c1CNc3nc4ccccc4[nH]3,Yes
65015,Oc1ccc(Cl)cc1CNc2nc3ccccc3[nH]2,Yes
65016,Cc1cc(Nc2cccc(F)c2)nc(NCc3ccccc3)n1,Yes
65017,n1c(Nc(cc2)ccc2OC)cc(C)nc1NCc3ccccc3,Yes
65019,Brc1ccc(Nc2nc3ccccc3nc2Nc4ccc(Br)cc4)cc1,Yes
