,Smiles,Hit
18871,Cc1nc(CN(C)C)cc(N2CCCC(COc3ccc(F)cc3)C2)n1,Yes
18875,CCN(CC)C(CNC(=O)c1c(C)noc1C(C)C)c1ccsc1,Yes
19053,CNc1cc(C)nc(NC2CCCN(C3Cc4ccccc4C3)C2)n1,Yes
19148,c1cc(-c2n[nH]cc2-c2ccnc(N3CCCCCC3)n2)ccn1,Yes
19169,Cc1cn2c(n1)C(CNCC1=Cc3cc(Cl)ccc3OC1)CCC2,Yes
19231,CCC(C)CN1CCC(n2cc(C3CCCCC3)nn2)CC1,Yes
19270,Cc1ccccc1CN1CCCC1c1cccc(Nc2nccs2)n1,Yes
19293,Fc1cnc(N2CCCC3(CCN(Cc4ccsc4)C3)C2)nc1,Yes
19516,Cc1ccc(CNC(CN2CCN(C)CC2)c2ccccc2)cc1,Yes
19588,CCN1CCN(C[C@@H]2CN(c3ncc(Cl)cc3F)C[C@@H]2CO)CC1,Yes
19613,Cc1cccc(CN(Cc2ccc(C)o2)C2CC(C)(C)NC(C)(C)C2)n1,Yes
19666,COc1ccc(C[C@H]2CNCC[C@@H]2OC)cc1,Yes
19812,COc1ccc(F)cc1CN1CCC(O)(CN2CCCCC2)C1,Yes
19930,CN1CCCCC1c1ncc2c(n1)CCN(Cc1ccc(F)cc1)C2,Yes
20050,CCC(CN1CCN(C)CC1)NC(=O)C1(c2cccc(F)c2)CC1,Yes
20121,Cc1cc(-c2nn(C)c(Cl)c2CN2CCCCC(N)C2)no1,Yes
20140,c1[nH]c(CC2CCCC2)nc1CN1CCCC2(CCOC2)C1,Yes
20142,CC(C)c1nn(C)c(Cl)c1CNCC(O)c1cccc(F)c1,Yes
20175,NCCC(Cc1ccccc1)c1ccco1,Yes
20245,NC1CCN(C2CCN(c3ccc(-c4ccco4)cc3)CC2)CC1,Yes
20303,COCCN(Cc1ccccc1Cl)c1nc(CCN)nc2ccccc12,Yes
20331,CC(C)(C)OC(=O)N1CCCN(Cc2ccon2)c2ccccc21,Yes
20387,NC1(C(=O)NCC2CCCN(Cc3ccccc3F)C2)CCCC1,Yes
20413,CCN(CC)c1nc(Nc2cccc(C(C)O)c2)nc2ccccc12,Yes
20563,CCN(C)CC1CCN(S(=O)(=O)c2cc(C)c(F)cc2Cl)C1,Yes
20667,c1ccc2nc(CN3CCCC3c3noc(C4CC4)n3)ccc2c1,Yes
20738,CN(Cc1ccsc1)c1nc(-c2ccccn2)nc2c1CCNCC2,Yes
20792,FC(F)(F)c1ccccc1CCC1CCCN(Cc2cscn2)C1,Yes
20813,CN(C[C@H]1CN2CC[C@H]1C[C@@H]2CNC(=O)c1ccco1)c1ccccc1,Yes
20859,CN1CCc2c(C#N)c(NCCc3ccccc3)n3cnnc3c2C1,Yes
20890,CC(C)(C)c1nccc(C2(c3ccccc3Cl)CCNCC2)n1,Yes
20988,CN(CC1CCN(CCO)CC1)CC(O)c1ccc(F)c(F)c1,Yes
